SaleReceiptNo,Saledate,InvCode,NoSold,InvDesc,InvPrice,InvCost,TotalSales,TotalCost
R00337,2025-08-17,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00338,2025-03-29,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00339,2025-08-11,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00340,2025-05-16,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00341,2025-05-16,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00342,2025-04-01,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00343,2025-03-15,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00344,2025-08-06,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00345,2025-12-22,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00346,2025-09-29,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00347,2025-07-09,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00348,2025-01-29,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00349,2025-08-02,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00350,2025-11-30,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00351,2025-10-14,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00352,2025-12-08,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00353,2025-07-07,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00354,2025-11-20,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00355,2025-06-01,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00356,2025-09-15,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00357,2025-07-19,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00358,2025-02-01,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00359,2025-07-11,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00360,2025-11-14,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00361,2025-08-02,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00362,2025-06-30,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00363,2025-11-05,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00364,2025-03-05,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00365,2025-06-26,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00366,2025-07-03,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00367,2025-09-09,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00368,2025-06-28,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00369,2025-09-17,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00370,2025-12-26,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00371,2025-10-27,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00372,2025-12-03,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00373,2025-01-19,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00374,2025-05-01,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00375,2025-04-11,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00376,2025-05-20,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00377,2025-07-20,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00378,2025-07-14,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00379,2025-06-29,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00380,2025-01-20,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00381,2025-11-26,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00382,2025-03-16,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00383,2025-12-21,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00384,2025-04-26,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00385,2025-02-28,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00386,2025-10-12,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00387,2025-08-07,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00388,2025-12-13,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00389,2025-11-18,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00390,2025-03-04,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00391,2025-12-16,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00392,2025-02-19,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00393,2025-06-04,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00394,2025-05-12,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00395,2025-05-29,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00396,2025-09-17,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00397,2025-06-15,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00398,2025-08-14,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00399,2025-02-25,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00400,2025-02-20,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00401,2025-09-07,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00402,2025-02-03,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00403,2025-01-08,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00404,2025-02-22,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00405,2025-06-29,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00406,2025-08-07,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00407,2025-01-08,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00408,2025-07-05,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00409,2025-03-12,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00410,2025-02-17,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00411,2025-04-17,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00412,2025-08-20,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00413,2025-02-05,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00414,2025-09-26,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00415,2025-06-16,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00416,2025-04-08,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00417,2025-08-26,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00418,2025-04-18,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00419,2025-08-20,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00420,2025-04-08,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00421,2025-04-06,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00422,2025-12-07,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00423,2025-07-23,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00424,2025-07-17,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00425,2025-02-20,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00426,2025-06-11,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00427,2025-04-14,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00428,2025-10-11,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00429,2025-10-27,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00430,2025-05-02,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00431,2025-08-06,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00432,2025-11-14,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00433,2025-07-11,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00434,2025-09-22,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00435,2025-07-11,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00436,2025-03-01,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00437,2025-07-16,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00438,2025-01-02,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00439,2025-07-27,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00440,2025-11-05,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00441,2025-01-17,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00442,2025-08-24,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00443,2025-04-08,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00444,2025-07-21,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00445,2025-07-04,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00446,2025-02-28,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00447,2025-05-10,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00448,2025-06-13,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00449,2025-04-18,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00450,2025-09-12,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00451,2025-12-07,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00452,2025-02-06,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00453,2025-05-24,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00454,2025-12-30,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00455,2025-08-07,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00456,2025-11-21,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00457,2025-09-30,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00458,2025-03-24,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00459,2025-04-04,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00460,2025-04-03,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00461,2025-09-20,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00462,2025-05-21,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00463,2025-01-08,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00464,2025-11-06,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00465,2025-12-27,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00466,2025-09-02,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00467,2025-03-27,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00468,2025-12-17,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00469,2025-12-30,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00470,2025-11-15,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00471,2025-06-11,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00472,2025-08-29,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00473,2025-09-10,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00474,2025-05-05,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00475,2025-09-13,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00476,2025-12-02,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00477,2025-05-15,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00478,2025-06-13,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00479,2025-09-24,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00480,2025-12-07,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00481,2025-01-22,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00482,2025-10-17,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00483,2025-05-07,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00484,2025-12-15,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00485,2025-05-09,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00486,2025-10-13,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00487,2025-11-01,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00488,2025-08-19,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00489,2025-02-18,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00490,2025-02-26,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00491,2025-10-08,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00492,2025-02-27,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00493,2025-05-16,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00494,2025-11-17,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00495,2025-11-20,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00496,2025-04-06,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00497,2025-02-17,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00498,2025-05-21,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00499,2025-07-28,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00500,2025-04-30,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00501,2025-12-20,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00502,2025-12-03,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00503,2025-04-15,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00504,2025-09-25,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00505,2025-08-28,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00506,2025-06-27,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00507,2025-03-26,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00508,2025-09-04,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00509,2025-01-19,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00510,2025-08-28,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00511,2025-04-28,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00512,2025-05-06,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00513,2025-09-18,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00514,2025-08-01,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00515,2025-03-01,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00516,2025-11-03,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00517,2025-12-30,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00518,2025-01-31,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00519,2025-03-27,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00520,2025-09-21,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00521,2025-05-14,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00522,2025-07-05,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00523,2025-11-25,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00524,2025-11-22,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00525,2025-01-11,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00526,2025-06-09,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00527,2025-04-12,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00528,2025-10-20,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00529,2025-04-15,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00530,2025-06-09,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00531,2025-01-27,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00532,2025-10-03,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00533,2025-02-17,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00534,2025-10-04,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00535,2025-03-19,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00536,2025-01-28,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00537,2025-10-09,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00538,2025-06-30,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00539,2025-04-25,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00540,2025-11-08,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00541,2025-01-18,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00542,2025-05-25,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00543,2025-05-16,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00544,2025-08-19,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00545,2025-04-09,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00546,2025-07-15,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00547,2025-04-23,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00548,2025-05-02,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00549,2025-07-31,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00550,2025-12-09,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00551,2025-12-07,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00552,2025-04-11,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00553,2025-04-15,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00554,2025-11-19,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00555,2025-04-12,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00556,2025-10-18,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00557,2025-07-07,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00558,2025-07-19,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00559,2025-04-10,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00560,2025-04-18,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00561,2025-01-04,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00562,2025-10-21,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00563,2025-11-12,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00564,2025-07-31,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00565,2025-09-18,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00566,2025-09-11,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00567,2025-02-02,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00568,2025-08-27,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00569,2025-11-29,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00570,2025-06-25,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00571,2025-07-22,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00572,2025-10-13,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00573,2025-06-24,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00574,2025-06-25,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00575,2025-03-08,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00576,2025-02-20,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00577,2025-05-21,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00578,2025-08-31,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00579,2025-11-13,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00580,2025-06-05,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00581,2025-06-22,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00582,2025-07-26,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00583,2025-07-30,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00584,2025-12-28,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00585,2025-08-05,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00586,2025-12-12,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00587,2025-09-19,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00588,2025-01-16,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00589,2025-10-25,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00590,2025-06-10,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00591,2025-05-11,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00592,2025-03-26,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00593,2025-11-06,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00594,2025-05-26,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00595,2025-09-07,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00596,2025-10-16,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00597,2025-11-26,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00598,2025-09-27,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00599,2025-12-04,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00600,2025-09-18,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00601,2025-09-08,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00602,2025-02-27,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00603,2025-04-22,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00604,2025-07-30,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00605,2025-10-25,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00606,2025-04-24,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00607,2025-10-07,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00608,2025-12-07,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00609,2025-05-18,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00610,2025-02-23,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00611,2025-06-21,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00612,2025-08-07,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00613,2025-04-15,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00614,2025-02-02,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00615,2025-03-15,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00616,2025-11-11,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00617,2025-02-22,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00618,2025-11-04,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00619,2025-09-29,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00620,2025-02-03,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00621,2025-10-20,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00622,2025-01-07,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00623,2025-04-26,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00624,2025-04-29,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00625,2025-08-31,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00626,2025-11-25,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00627,2025-04-12,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00628,2025-01-14,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00629,2025-12-09,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00630,2025-05-25,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00631,2025-01-31,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00632,2025-05-21,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00633,2025-01-15,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00634,2025-11-20,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00635,2025-03-18,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00636,2025-12-15,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00637,2025-11-30,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00638,2025-10-26,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00639,2025-05-13,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00640,2025-10-26,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00641,2025-07-13,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00642,2025-07-17,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00643,2025-04-29,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00644,2025-12-23,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00645,2025-07-23,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00646,2025-06-01,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00647,2025-10-28,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00648,2025-10-23,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00649,2025-06-04,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00650,2025-08-26,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00651,2025-05-07,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00652,2025-01-28,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00653,2025-10-09,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00654,2025-08-13,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00655,2025-07-01,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00656,2025-05-20,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00657,2025-01-21,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00658,2025-12-27,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00659,2025-06-12,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00660,2025-12-26,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00661,2025-07-03,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00662,2025-04-30,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00663,2025-10-25,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00664,2025-09-20,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00665,2025-01-29,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00666,2025-10-22,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00667,2025-07-02,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00668,2025-07-27,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00669,2025-12-12,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00670,2025-06-24,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00671,2025-11-07,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00672,2025-05-08,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
