InvoiceNO,InvoiceAmt,ShipDate,InvoiceDate,VendorID,VendorName,ProductID,UnitCost,ShipCost,FlatDuty,TariffAmt,ShipLocation,QualityRate,PaymentTerms,ShipTerms,PayAddress,PONumber,PODate,ReceivingNumber,ReceivingDate,QtyReceived,QtyPurchased,QtyInvoice,Approved
INV00117,240526.11,2025-08-12,2025-08-12,V102,Asia Motors,PROD338,484.94,164.85,25.0,11444.58,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0117,2025-08-05,REC00117,2025-08-14,472,472,472,No
INV00118,13741.25,2025-07-20,2025-07-20,V102,Asia Motors,PROD879,186.06,236.2,25.0,641.91,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0118,2025-07-14,REC00118,2025-07-22,69,69,69,No
INV00119,10861.58,2025-12-11,2025-12-11,V101,Global Tech Parts,PROD745,378.98,250.14,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0119,2025-12-02,REC00119,2025-12-15,28,28,28,Yes
INV00120,17515.86,2025-10-18,2025-10-18,V102,Asia Motors,PROD708,263.96,307.06,25.0,818.28,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0120,2025-10-05,REC00120,2025-10-23,62,62,62,Yes
INV00121,14655.47,2025-05-18,2025-05-18,V104,China Auto,PROD124,60.13,361.62,25.0,679.47,China,2,Net 30,FOB Shipping Point,123 China Blvd,PO0121,2025-05-11,REC00121,2025-05-20,226,226,226,No
INV00122,47378.53,2025-10-05,2025-10-05,V101,Global Tech Parts,PROD642,477.34,121.87,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0122,2025-09-27,REC00122,2025-10-09,99,99,99,Yes
INV00123,35748.17,2026-01-01,2026-01-01,V104,China Auto,PROD187,474.08,380.51,25.0,1682.98,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0123,2025-12-19,REC00123,2026-01-06,71,71,71,Yes
INV00124,67654.92,2025-10-11,2025-10-11,V104,China Auto,PROD777,161.28,400.35,25.0,3201.41,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0124,2025-10-04,REC00124,2025-10-13,397,397,397,Yes
INV00125,143514.44,2025-01-28,2025-01-28,V104,China Auto,PROD693,309.72,398.8,25.0,6813.84,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0125,2025-01-18,REC00125,2025-02-01,440,440,440,Yes
INV00126,19362.17,2025-11-06,2025-11-06,V101,Global Tech Parts,PROD967,69.52,105.13,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0126,2025-10-27,REC00126,2025-11-11,277,277,277,Yes
INV00127,2146.02,2025-09-05,2025-09-05,V101,Global Tech Parts,PROD255,15.91,284.55,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0127,2025-08-30,REC00127,2025-09-09,117,117,117,Yes
INV00128,30837.37,2025-09-21,2025-09-21,V103,Euro Wheels,PROD485,129.01,469.22,25.0,1444.91,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0128,2025-09-14,REC00128,2025-09-25,224,224,224,Yes
INV00129,155171.12,2025-02-17,2025-02-17,V104,China Auto,PROD858,326.19,336.35,25.0,7371.89,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0129,2025-02-09,REC00129,2025-02-24,452,452,452,No
INV00130,73081.78,2025-08-24,2025-08-24,V104,China Auto,PROD993,325.14,339.22,25.0,3462.74,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0130,2025-08-10,REC00130,2025-08-27,213,213,213,Yes
INV00131,67966.9,2025-09-30,2025-09-30,V102,Asia Motors,PROD265,199.56,51.59,25.0,3232.87,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0131,2025-09-21,REC00131,2025-10-06,324,324,324,No
INV00132,44042.64,2025-11-04,2025-11-04,V102,Asia Motors,PROD394,124.26,309.18,25.0,2081.36,Japan,3,Net 45,FOB Shipping Point,123 Japan Blvd,PO0132,2025-10-22,REC00132,2025-11-11,335,335,335,Yes
INV00133,172244.64,2025-12-15,2025-12-15,V104,China Auto,PROD866,375.53,302.01,25.0,8186.55,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0133,2025-12-06,REC00133,2025-12-19,436,436,436,No
INV00134,26348.99,2025-04-17,2025-04-17,V101,Global Tech Parts,PROD355,214.84,353.35,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0134,2025-04-04,REC00134,2025-04-20,121,121,121,Yes
INV00135,40247.55,2025-11-30,2025-11-30,V103,Euro Wheels,PROD935,155.57,365.52,25.0,1897.95,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0135,2025-11-24,REC00135,2025-12-04,244,244,244,Yes
INV00136,34640.92,2025-03-24,2025-03-24,V103,Euro Wheels,PROD188,461.41,217.8,25.0,1638.01,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0136,2025-03-12,REC00136,2025-03-31,71,71,71,Yes
INV00137,8176.23,2025-02-02,2025-02-02,V101,Global Tech Parts,PROD449,222.79,155.79,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0137,2025-01-27,REC00137,2025-02-08,36,36,36,No
INV00138,11656.56,2025-03-21,2025-03-21,V104,China Auto,PROD458,76.13,440.45,25.0,532.91,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0138,2025-03-08,REC00138,2025-03-24,140,140,140,No
INV00139,55462.59,2025-03-20,2025-03-20,V102,Asia Motors,PROD162,121.02,288.78,25.0,2626.13,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0139,2025-03-15,REC00139,2025-03-26,434,434,434,No
INV00140,9905.26,2025-08-29,2025-08-29,V102,Asia Motors,PROD369,319.17,496.66,25.0,446.84,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0140,2025-08-18,REC00140,2025-08-31,28,28,28,Yes
INV00141,59056.29,2025-07-19,2025-07-19,V102,Asia Motors,PROD858,140.56,438.85,25.0,2790.12,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0141,2025-07-05,REC00141,2025-07-25,397,397,397,Yes
INV00142,147560.16,2025-10-08,2025-10-08,V103,Euro Wheels,PROD214,411.58,168.94,25.0,7017.44,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0142,2025-09-27,REC00142,2025-10-14,341,341,341,Yes
INV00143,57257.26,2025-10-31,2025-10-31,V101,Global Tech Parts,PROD387,350.78,430.9,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0143,2025-10-20,REC00143,2025-11-05,162,162,162,No
INV00144,46166.78,2025-11-22,2025-11-22,V103,Euro Wheels,PROD892,394.87,119.68,25.0,2191.53,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0144,2025-11-12,REC00144,2025-11-24,111,111,111,No
INV00145,87672.96,2025-03-17,2025-03-17,V102,Asia Motors,PROD558,465.39,177.91,25.0,4165.24,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0145,2025-03-06,REC00145,2025-03-24,179,179,179,Yes
INV00146,44843.42,2025-08-11,2025-08-11,V102,Asia Motors,PROD745,198.22,70.25,25.0,2130.87,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0146,2025-08-02,REC00146,2025-08-17,215,215,215,Yes
INV00147,43604.34,2025-08-15,2025-08-15,V102,Asia Motors,PROD696,83.3,109.23,25.0,2070.01,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0147,2025-08-08,REC00147,2025-08-20,497,497,497,No
INV00148,65987.32,2025-04-11,2025-04-11,V102,Asia Motors,PROD242,171.02,239.33,25.0,3129.67,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0148,2025-03-28,REC00148,2025-04-17,366,366,366,Yes
INV00149,12951.16,2025-12-08,2025-12-08,V104,China Auto,PROD844,103.8,65.34,25.0,612.42,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0149,2025-11-29,REC00149,2025-12-15,118,118,118,Yes
INV00150,75640.89,2025-06-06,2025-06-06,V101,Global Tech Parts,PROD846,251.0,89.89,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0150,2025-06-01,REC00150,2025-06-09,301,301,301,Yes
INV00151,149743.45,2025-11-11,2025-11-11,V104,China Auto,PROD336,384.3,417.9,25.0,7109.55,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0151,2025-11-03,REC00151,2025-11-14,370,370,370,Yes
INV00152,84328.42,2025-04-09,2025-04-09,V103,Euro Wheels,PROD809,336.42,232.06,25.0,4003.4,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0152,2025-03-27,REC00152,2025-04-15,238,238,238,No
INV00153,27510.88,2025-04-07,2025-04-07,V103,Euro Wheels,PROD630,495.95,407.01,25.0,1289.47,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0153,2025-03-26,REC00153,2025-04-11,52,52,52,Yes
INV00154,91347.34,2025-05-30,2025-05-30,V101,Global Tech Parts,PROD148,242.45,186.14,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0154,2025-05-18,REC00154,2025-06-04,376,376,376,Yes
INV00155,2291.06,2025-06-28,2025-06-28,V103,Euro Wheels,PROD959,121.7,349.28,25.0,91.28,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0155,2025-06-15,REC00155,2025-07-02,15,15,15,No
INV00156,65270.15,2025-04-17,2025-04-17,V101,Global Tech Parts,PROD416,242.62,247.99,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0156,2025-04-12,REC00156,2025-04-23,268,268,268,Yes
INV00157,21409.21,2025-04-01,2025-04-01,V102,Asia Motors,PROD476,259.59,396.36,25.0,999.42,Japan,3,Net 45,FOB Shipping Point,123 Japan Blvd,PO0157,2025-03-22,REC00157,2025-04-07,77,77,77,Yes
INV00158,209158.52,2025-06-29,2025-06-29,V104,China Auto,PROD731,441.56,496.42,25.0,9935.1,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0158,2025-06-14,REC00158,2025-07-06,450,450,450,Yes
INV00159,24368.25,2025-01-29,2025-01-29,V101,Global Tech Parts,PROD561,143.9,336.95,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0159,2025-01-18,REC00159,2025-02-04,167,167,167,Yes
INV00160,29579.13,2025-04-15,2025-04-15,V101,Global Tech Parts,PROD456,321.11,358.12,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0160,2025-04-07,REC00160,2025-04-18,91,91,91,Yes
INV00161,55527.5,2025-09-15,2025-09-15,V101,Global Tech Parts,PROD690,145.32,160.58,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0161,2025-09-06,REC00161,2025-09-18,381,381,381,Yes
INV00162,96019.33,2025-11-12,2025-11-12,V101,Global Tech Parts,PROD659,218.74,211.21,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0162,2025-11-01,REC00162,2025-11-17,438,438,438,No
INV00163,65732.29,2025-10-20,2025-10-20,V103,Euro Wheels,PROD642,289.85,273.65,25.0,3115.89,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0163,2025-10-14,REC00163,2025-10-24,215,215,215,No
INV00164,86693.28,2025-08-14,2025-08-14,V104,China Auto,PROD607,319.28,175.33,25.0,4118.71,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0164,2025-07-31,REC00164,2025-08-16,258,258,258,No
INV00165,40259.2,2025-08-17,2025-08-17,V102,Asia Motors,PROD799,418.82,215.95,25.0,1905.63,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0165,2025-08-02,REC00165,2025-08-22,91,91,91,No
INV00166,18878.38,2025-04-16,2025-04-16,V102,Asia Motors,PROD500,377.58,219.81,25.0,887.31,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0166,2025-04-04,REC00166,2025-04-20,47,47,47,No
INV00167,96992.92,2025-03-02,2025-03-02,V102,Asia Motors,PROD547,330.91,375.29,25.0,4599.65,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0167,2025-02-15,REC00167,2025-03-06,278,278,278,Yes
INV00168,39746.06,2025-05-22,2025-05-22,V101,Global Tech Parts,PROD889,261.04,67.98,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0168,2025-05-13,REC00168,2025-05-25,152,152,152,Yes
INV00169,7495.23,2025-12-15,2025-12-15,V104,China Auto,PROD173,21.17,423.8,25.0,335.54,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0169,2025-12-02,REC00169,2025-12-18,317,317,317,Yes
INV00170,32966.09,2025-12-23,2025-12-23,V104,China Auto,PROD251,336.31,100.42,25.0,1563.84,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0170,2025-12-12,REC00170,2025-12-28,93,93,93,Yes
INV00171,16019.45,2025-06-13,2025-06-13,V104,China Auto,PROD277,440.75,259.67,25.0,749.28,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0171,2025-06-02,REC00171,2025-06-17,34,34,34,Yes
INV00172,17680.15,2025-02-02,2025-02-02,V103,Euro Wheels,PROD831,165.61,439.99,25.0,819.77,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0172,2025-01-22,REC00172,2025-02-06,99,99,99,Yes
INV00173,95620.57,2025-10-03,2025-10-03,V102,Asia Motors,PROD431,409.42,159.77,25.0,4544.56,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0173,2025-09-27,REC00173,2025-10-08,222,222,222,No
INV00174,43554.97,2025-09-22,2025-09-22,V102,Asia Motors,PROD177,191.38,325.93,25.0,2057.34,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0174,2025-09-15,REC00174,2025-09-27,215,215,215,Yes
INV00175,48766.71,2025-10-12,2025-10-12,V104,China Auto,PROD591,214.81,473.9,25.0,2298.47,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0175,2025-10-07,REC00175,2025-10-15,214,214,214,Yes
INV00176,210723.09,2025-09-08,2025-09-08,V103,Euro Wheels,PROD235,487.45,339.04,25.0,10017.1,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0176,2025-09-01,REC00176,2025-09-13,411,411,411,Yes
INV00177,37541.14,2025-10-30,2025-10-30,V101,Global Tech Parts,PROD524,167.9,267.34,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0177,2025-10-16,REC00177,2025-11-01,222,222,222,No
INV00178,5379.91,2025-07-14,2025-07-14,V102,Asia Motors,PROD317,44.72,142.79,25.0,248.2,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0178,2025-07-09,REC00178,2025-07-18,111,111,111,Yes
INV00179,13458.26,2025-02-01,2025-02-01,V102,Asia Motors,PROD972,107.41,237.94,25.0,628.35,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0179,2025-01-20,REC00179,2025-02-07,117,117,117,Yes
INV00180,59594.33,2025-05-17,2025-05-17,V104,China Auto,PROD677,338.8,160.75,25.0,2828.98,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0180,2025-05-04,REC00180,2025-05-20,167,167,167,Yes
INV00181,47425.16,2025-03-04,2025-03-04,V102,Asia Motors,PROD351,123.28,282.54,25.0,2243.7,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0181,2025-02-20,REC00181,2025-03-09,364,364,364,Yes
INV00182,33916.54,2025-10-29,2025-10-29,V104,China Auto,PROD845,409.73,334.65,25.0,1597.95,China,2,Net 30,FOB Shipping Point,123 China Blvd,PO0182,2025-10-16,REC00182,2025-11-05,78,78,78,No
INV00183,90661.55,2025-08-23,2025-08-23,V103,Euro Wheels,PROD495,223.49,290.72,25.0,4302.18,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0183,2025-08-08,REC00183,2025-08-25,385,385,385,Yes
INV00184,21778.97,2025-12-01,2025-12-01,V101,Global Tech Parts,PROD200,103.65,116.12,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0184,2025-11-21,REC00184,2025-12-05,209,209,209,Yes
INV00185,788.43,2025-08-19,2025-08-19,V103,Euro Wheels,PROD847,20.46,441.18,25.0,15.35,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0185,2025-08-10,REC00185,2025-08-22,15,15,15,No
INV00186,22000.24,2025-04-29,2025-04-29,V102,Asia Motors,PROD752,46.11,236.68,25.0,1035.17,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0186,2025-04-22,REC00186,2025-05-05,449,449,449,No
INV00187,11193.28,2025-10-17,2025-10-17,V102,Asia Motors,PROD764,45.41,154.08,25.0,524.49,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0187,2025-10-12,REC00187,2025-10-21,231,231,231,No
INV00188,165497.31,2025-04-02,2025-04-02,V102,Asia Motors,PROD520,448.64,126.04,25.0,7873.63,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0188,2025-03-23,REC00188,2025-04-05,351,351,351,No
INV00189,65410.86,2025-04-07,2025-04-07,V104,China Auto,PROD887,224.46,101.67,25.0,3108.77,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0189,2025-03-27,REC00189,2025-04-13,277,277,277,Yes
INV00190,14623.53,2025-04-20,2025-04-20,V101,Global Tech Parts,PROD983,43.28,470.97,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0190,2025-04-10,REC00190,2025-04-27,327,327,327,Yes
INV00191,49067.49,2025-12-29,2025-12-29,V104,China Auto,PROD418,149.35,429.06,25.0,2314.93,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0191,2025-12-24,REC00191,2026-01-01,310,310,310,No
INV00192,107287.83,2025-02-06,2025-02-06,V104,China Auto,PROD475,299.13,159.33,25.0,5100.17,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0192,2025-01-23,REC00192,2025-02-11,341,341,341,No
INV00193,35015.29,2025-05-24,2025-05-24,V101,Global Tech Parts,PROD951,114.77,354.75,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0193,2025-05-14,REC00193,2025-05-31,302,302,302,No
INV00194,985.95,2025-06-03,2025-06-03,V103,Euro Wheels,PROD198,29.1,441.51,25.0,24.74,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0194,2025-05-21,REC00194,2025-06-05,17,17,17,No
INV00195,54047.8,2025-09-06,2025-09-06,V102,Asia Motors,PROD276,111.26,284.22,25.0,2558.98,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0195,2025-08-28,REC00195,2025-09-08,460,460,460,No
INV00196,26690.78,2025-10-19,2025-10-19,V101,Global Tech Parts,PROD185,95.57,217.89,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0196,2025-10-06,REC00196,2025-10-26,277,277,277,No
INV00197,144667.07,2025-01-26,2025-01-26,V102,Asia Motors,PROD637,389.86,140.46,25.0,6881.03,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0197,2025-01-15,REC00197,2025-01-30,353,353,353,Yes
INV00198,22428.78,2025-06-18,2025-06-18,V104,China Auto,PROD651,65.69,469.89,25.0,1044.47,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0198,2025-06-08,REC00198,2025-06-23,318,318,318,Yes
INV00199,7553.64,2025-06-25,2025-06-25,V104,China Auto,PROD352,32.52,84.81,25.0,354.47,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0199,2025-06-19,REC00199,2025-06-28,218,218,218,Yes
INV00200,51866.15,2025-04-12,2025-04-12,V102,Asia Motors,PROD966,422.73,352.64,25.0,2451.83,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0200,2025-04-01,REC00200,2025-04-15,116,116,116,Yes
INV00201,46904.87,2025-07-08,2025-07-08,V103,Euro Wheels,PROD716,262.76,253.11,25.0,2220.32,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0201,2025-07-01,REC00201,2025-07-12,169,169,169,No
INV00202,78558.58,2025-02-07,2025-02-07,V103,Euro Wheels,PROD817,159.86,146.23,25.0,3732.73,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0202,2025-01-25,REC00202,2025-02-10,467,467,467,No
INV00203,32093.1,2025-10-30,2025-10-30,V103,Euro Wheels,PROD230,82.25,200.34,25.0,1517.51,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0203,2025-10-20,REC00203,2025-11-03,369,369,369,No
INV00204,43291.79,2025-02-02,2025-02-02,V101,Global Tech Parts,PROD464,432.1,81.79,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0204,2025-01-20,REC00204,2025-02-05,100,100,100,Yes
INV00205,57201.32,2025-11-24,2025-11-24,V101,Global Tech Parts,PROD314,438.43,205.42,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0205,2025-11-11,REC00205,2025-11-29,130,130,130,No
INV00206,207528.68,2025-06-05,2025-06-05,V102,Asia Motors,PROD477,408.87,145.26,25.0,9874.21,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0206,2025-05-25,REC00206,2025-06-07,483,483,483,No
INV00207,86338.46,2025-07-24,2025-07-24,V103,Euro Wheels,PROD514,221.06,199.54,25.0,4100.66,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0207,2025-07-11,REC00207,2025-07-30,371,371,371,Yes
INV00208,67620.62,2025-10-12,2025-10-12,V102,Asia Motors,PROD799,149.19,392.98,25.0,3200.13,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0208,2025-10-02,REC00208,2025-10-16,429,429,429,No
INV00209,62447.54,2025-04-08,2025-04-08,V102,Asia Motors,PROD264,485.61,215.9,25.0,2962.22,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0209,2025-03-30,REC00209,2025-04-14,122,122,122,No
INV00210,69596.78,2025-06-18,2025-06-18,V102,Asia Motors,PROD986,413.97,459.49,25.0,3291.06,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0210,2025-06-11,REC00210,2025-06-23,159,159,159,Yes
INV00211,45309.77,2025-05-22,2025-05-22,V104,China Auto,PROD840,292.9,75.65,25.0,2152.82,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0211,2025-05-10,REC00211,2025-05-26,147,147,147,Yes
INV00212,138898.54,2025-05-16,2025-05-16,V102,Asia Motors,PROD639,387.35,182.87,25.0,6604.32,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0212,2025-05-05,REC00212,2025-05-18,341,341,341,Yes
INV00213,84912.49,2025-11-05,2025-11-05,V101,Global Tech Parts,PROD433,226.03,377.27,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0213,2025-10-23,REC00213,2025-11-09,374,374,374,No
INV00214,7735.11,2025-07-02,2025-07-02,V103,Euro Wheels,PROD798,120.64,489.81,25.0,343.82,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0214,2025-06-25,REC00214,2025-07-05,57,57,57,Yes
INV00215,10219.09,2025-06-19,2025-06-19,V102,Asia Motors,PROD988,19.03,263.28,25.0,472.9,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0215,2025-06-11,REC00215,2025-06-24,497,497,497,Yes
INV00216,161834.55,2025-07-27,2025-07-27,V102,Asia Motors,PROD240,473.33,285.69,25.0,7691.61,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0216,2025-07-20,REC00216,2025-08-01,325,325,325,Yes
INV00217,32323.1,2025-11-17,2025-11-17,V101,Global Tech Parts,PROD171,128.5,198.1,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0217,2025-11-07,REC00217,2025-11-22,250,250,250,No
INV00218,149966.12,2025-09-03,2025-09-03,V101,Global Tech Parts,PROD558,343.78,421.82,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0218,2025-08-25,REC00218,2025-09-05,435,435,435,No
INV00219,187943.94,2025-08-20,2025-08-20,V103,Euro Wheels,PROD568,452.25,348.25,25.0,8931.94,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0219,2025-08-08,REC00219,2025-08-25,395,395,395,No
INV00220,106893.98,2025-04-21,2025-04-21,V103,Euro Wheels,PROD245,309.81,170.42,25.0,5080.88,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0220,2025-04-15,REC00220,2025-04-27,328,328,328,Yes
INV00221,6379.52,2025-11-23,2025-11-23,V102,Asia Motors,PROD861,28.07,489.29,25.0,279.3,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0221,2025-11-14,REC00221,2025-11-25,199,199,199,No
INV00222,59858.97,2025-08-17,2025-08-17,V104,China Auto,PROD496,153.68,452.02,25.0,2827.71,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0222,2025-08-02,REC00222,2025-08-21,368,368,368,Yes
INV00223,95264.06,2026-01-05,2026-01-05,V103,Euro Wheels,PROD411,348.52,93.1,25.0,4530.76,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0223,2025-12-21,REC00223,2026-01-10,260,260,260,No
INV00224,14557.84,2025-06-10,2025-06-10,V103,Euro Wheels,PROD193,139.77,297.27,25.0,677.88,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0224,2025-06-03,REC00224,2025-06-17,97,97,97,No
INV00225,5374.26,2025-02-27,2025-02-27,V101,Global Tech Parts,PROD582,123.99,290.67,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0225,2025-02-19,REC00225,2025-03-02,41,41,41,Yes
INV00226,22725.06,2025-01-18,2025-01-18,V101,Global Tech Parts,PROD331,60.16,165.06,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0226,2025-01-06,REC00226,2025-01-23,375,375,375,Yes
INV00227,1303.61,2025-02-25,2025-02-25,V101,Global Tech Parts,PROD424,53.08,348.17,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0227,2025-02-11,REC00227,2025-02-27,18,18,18,Yes
INV00228,101703.92,2025-12-18,2025-12-18,V102,Asia Motors,PROD330,355.05,276.64,25.0,4828.68,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0228,2025-12-06,REC00228,2025-12-25,272,272,272,No
INV00229,24527.65,2025-06-14,2025-06-14,V102,Asia Motors,PROD367,423.4,495.87,25.0,1143.18,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0229,2025-05-30,REC00229,2025-06-16,54,54,54,Yes
INV00230,12390.9,2025-09-29,2025-09-29,V101,Global Tech Parts,PROD711,429.86,354.82,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0230,2025-09-20,REC00230,2025-10-03,28,28,28,Yes
INV00231,87672.08,2025-01-17,2025-01-17,V103,Euro Wheels,PROD842,201.94,75.8,25.0,4170.06,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0231,2025-01-05,REC00231,2025-01-24,413,413,413,Yes
INV00232,117241.02,2025-10-13,2025-10-13,V102,Asia Motors,PROD201,475.17,466.75,25.0,5559.49,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0232,2025-10-03,REC00232,2025-10-19,234,234,234,No
INV00233,12882.35,2025-05-07,2025-05-07,V101,Global Tech Parts,PROD920,63.16,313.51,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0233,2025-04-28,REC00233,2025-05-10,199,199,199,Yes
INV00234,124589.76,2025-04-02,2025-04-02,V101,Global Tech Parts,PROD630,365.49,323.16,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0234,2025-03-24,REC00234,2025-04-05,340,340,340,Yes
